Norman Lamb,@normanlamb,North Norfolk,8.18%,Liberal Democrat,34039
John Nicolson,@mrjohnnicolson,East Dunbartonshire,3.95%,Scottish National Party,16967
Stewart Malcolm McDonald,@stewartmcdonald,Glasgow South,25.15%,Scottish National Party,14192
George Freeman,@freeman_george,Mid Norfolk,33.09%,Conservative,17027
Tracy Brabin,@TracyBrabin,Batley and Spen,81.00%,Labour,11331
Mike Gapes,@mikegapes,Ilford South,38.10%,Labour,18340
Margaret Ferrier,@MargaretFerrier,Rutherglen and Hamilton West,17.31%,Scottish National Party,9394
Caroline Flint,@carolineflintmp,Don Valley,20.91%,Labour,52230
Ben Howlett,@ben4bath,Bath,8.13%,Conservative,11951
Barry Sheerman,@barrysheerman,Huddersfield,18.15%,Labour,10303
Stella Creasy,@stellacreasy,Walthamstow,55.50%,Labour,84682
Douglas Carswell,@douglascarswell,Clacton,7.77%,Independent,54992
Julian Knight,@julianknight15,Solihull,23.55%,Conservative,3984
Rory Stewart,@rorystewartuk,Penrith and The Border,45.29%,Conservative,28650
Mary Creagh,@marycreaghmp,Wakefield,6.08%,Labour,29451
George Kerevan,@georgekerevan,East Lothian,11.53%,Scottish National Party,8457
Margaret Greenwood,@mgreenwoodww,Wirral West,1.00%,Labour,6839
Robin Walker,@walkerworcester,Worcester,11.35%,Conservative,8112
Greg Hands,@greghands,Chelsea and Fulham,39.83%,Conservative,18030
Michael Dugher,@MichaelDugher,Barnsley East,31.24%,Labour,31415
Tom Blenkinsop,@tomblenkinsop,Middlesbrough South and East Cleveland,38.15%,Labour,18439
David Lammy,@davidlammy,Tottenham,55.37%,Labour,85868
Chris Stephens,@ChrisStephens,Glasgow South West,24.30%,Scottish National Party,9939
Dr Paul Monaghan,@_paulmonaghan,"Caithness, Sutherland and Easter Ross",11.24%,Scottish National Party,16677
John Woodcock,@jwoodcockmp,Barrow and Furness,1.84%,Labour,28844
Sarah Champion,@sarahchampionmp,Rotherham,22.33%,Labour,24285
Jason McCartney,@jasonmccartney,Colne Valley,9.47%,Conservative,15629
Jeremy Corbyn,@jeremycorbyn,Islington North,43.05%,Labour,863119
Paul Flynn,@paulflynnmp,Newport West,8.70%,Labour,18900
James Cleverly,@jamescleverly,Braintree,35.02%,Conservative,17200
Carolyn Harris,@carolynharris24,Swansea East,35.78%,Labour,6319
Sajid Javid,@sajidjavid,Bromsgrove,31.64%,Conservative,40800
Roger Mullin,@rogmull,Kirkcaldy and Cowdenbeath,18.86%,Scottish National Party,8693
Anna Turley,@annaturley,Redcar,25.39%,Labour,13776
Owen Thompson,@owenthompson,Midlothian,20.40%,Scottish National Party,6632
Jonathan Edwards,@jonathanplaid,Carmarthen East and Dinefwr,14.21%,Plaid Cymru,7667
Diana Johnson,@dianajohnsonmp,Kingston upon Hull North,36.50%,Labour,18821
Jo Stevens,@jostevenslabour,Cardiff Central,12.89%,Labour,13215
Rachel Reeves,@rachelreevesmp,Leeds West,27.92%,Labour,65440
Richard Burgon,@richardburgon,Leeds East,32.81%,Labour,27524
Heidi Alexander,@heidi_mp,Lewisham East,33.39%,Labour,32103
Wes Streeting,@wesstreeting,Ilford North,1.20%,Labour,32875
Pete Wishart,@petewishart,Perth and North Perthshire,17.79%,Scottish National Party,28595
Angus MacNeil,@AngusMacNeilSNP,Na h-Eileanan an Iar,25.74%,Scottish National Party,21210
Patrick Grady,@gradysnp,Glasgow North,25.17%,Scottish National Party,8900
Alison McGovern,@alison_mcgovern,Wirral South,10.99%,Labour,27552
Peter Grant,@PeterGrantMP,Glenrothes,29.20%,Scottish National Party,6195
Barbara Keeley,@keeleymp,Worsley and Eccles South,14.14%,Labour,14556
Mark Williams,@mark4ceredigion,Ceredigion,8.20%,Liberal Democrat,8623
Joanna Cherry QC,@joannaccherry,Edinburgh South West,15.76%,Scottish National Party,14416
Kirsten Oswald,@kirstenoswald,East Renfrewshire,6.55%,Scottish National Party,9869
Albert Owen,@albertowenmp,Ynys M�n,0.66%,Labour,4694
Liz Saville Roberts,@lsrplaid,Dwyfor Meirionnydd,18.20%,Plaid Cymru,4047
Sharon Hodgson,@sharonhodgsonmp,Washington and Sunderland West,35.31%,Labour,19802
Lilian Greenwood,@liliangreenwood,Nottingham South,15.96%,Labour,17791
Simon Danczuk,@simondanczuk,Rochdale,27.39%,Independent,26759
Tasmina Ahmed-Sheikh,@tasminasheikh,Ochil and South Perthshire,17.57%,Scottish National Party,26964
Simon Hoare,@simon4ndorset,North Dorset,39.56%,Conservative,3000
Jess Phillips,@jessphillips,"Birmingham, Yardley",16.03%,Labour,52183
Thangam Debbonaire,@ThangamMP,Bristol West,8.80%,Labour,10957
Lucy Allan,@lucyallan,Telford,1.80%,Conservative,6498
Emma Lewell-Buck,@emmalewellbuck,South Shields,29.27%,Labour,10205
Rehman Chishti,@rehman_chishti,Gillingham and Rainham,22.37%,Conservative,7417
Debbie Abrahams,@debbie_abrahams,Oldham East and Saddleworth,13.49%,Labour,26766
Nigel Huddleston,@huddlestonnigel,Mid Worcestershire,11.35%,Conservative,4555
Hywel Williams,@hywelplaidcymru,Arfon,13.67%,Plaid Cymru,5739
Guy Opperman,@GuyOpperman,Hexham,27.80%,Conservative,9115
Richard Benyon,@richardbenyonmp,Newbury,46.02%,Conservative,12887
Chi Onwurah,@chionwurah,Newcastle upon Tyne Central,36.12%,Labour,21755
Sarah Olney,@sarahjolney1,Richmond Park,4.50%,Liberal Democrat,10453
Catherine West,@catherinewest1,Hornsey and Wood Green,19.14%,Labour,16357
Bernard Jenkin,@bernardjenkin,Harwich and North Essex,31.33%,Conservative,14649
Chris Heaton-Harris,@chhcalling,Daventry,40.10%,Conservative,13125
Lucy Powell,@lucympowell,Manchester Central,47.74%,Labour,31344
Siobhain McDonagh,@Siobhain_MP,Mitcham and Morden,37.49%,Labour,10521
Yvonne Fovargue,@y_fovarguemp,Makerfield,29.37%,Labour,6239
Ian Paisley,@ianpaisleymp,North Antrim,27.55%,Democratic Unionist Party,7237
Michael Fabricant,@mike_fabricant,Lichfield,35.34%,Conservative,25097
Neil Coyle,@coyleneil,Bermondsey and Old Southwark,8.73%,Labour,11335
Joan Ryan,@joanryanenfield,Enfield North,2.35%,Labour,6103
Victoria Prentis,@victoriaprentis,Banbury,31.71%,Conservative,3441
Ian Murray,@ianmurraymp,Edinburgh South,5.35%,Labour,15319
Robert Neill,@neill_bob,Bromley and Chislehurst,30.78%,Conservative,4570
Toby Perkins,@tobyperkinsmp,Chesterfield,29.84%,Labour,22466
Ben Bradshaw,@benpbradshaw,Exeter,13.30%,Labour,41084
Patricia Gibson,@pgibsonsnp,North Ayrshire and Arran,25.20%,Scottish National Party,6826
Dr Dan Poulter,@drdanpoulter,Central Suffolk and North Ipswich,7.67%,Conservative,5345
Jim Fitzpatrick,@fitzmp,Poplar and Limehouse,33.16%,Labour,8722
Jonathan Reynolds,@jreynoldsmp,Stalybridge and Hyde,16.29%,Labour,27066
Diane Abbott,@hackneyabbott,Hackney North and Stoke Newington,48.12%,Labour,138160
Caroline Lucas,@carolinelucas,"Brighton, Pavilion",14.57%,Green Party,217882
Andrew Gwynne,@gwynnemp,Denton and Reddish,27.17%,Labour,24533
Dr Rupa Huq,@rupahuq,Ealing Central and Acton,0.54%,Labour,16485
Heidi Allen,@heidiallen75,South Cambridgeshire,1.16%,Conservative,12439
Emily Thornberry,@emilythornberry,Islington South and Finsbury,28.71%,Labour,38121
Eric Pickles,@ericpickles,Brentwood and Ongar,42.03%,Conservative,43299
Kevin Foster,@kevin_j_foster,Torbay,6.83%,Conservative,3759
Helen Hayes,@helenhayes_,Dulwich and West Norwood,31.39%,Labour,8888
Stewart Jackson,@stewart4pboro,Peterborough,4.09%,Conservative,20292
Jane Ellison,@JaneEllison,Battersea,15.56%,Conservative,9588
Dr Philippa Whitford,@Dr_PhilippaW,Central Ayrshire,26.76%,Scottish National Party,12340
